全国地方公共団体コード,識別子,分類,名称,種別,目的,住所表記,郵便番号,緯度,経度,説明,連絡先名称,連絡先電話番号,webサイト,
232050,KN0001,観光,半田赤レンガ建物,歴史・郷土文化,見る,愛知県半田市榎下町8,4750867,34.901626,136.928439,明治31年（1898年）にカブトビールの製造工場として誕生。明治時代に建てられたレンガ建造物としては日本で五本の指に入る貴重な建造物です。,半田赤レンガ建物,0569-24-7031,http://handa-akarenga.jp/,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/1_akarenga.JPG
232050,KN0002,観光,mizkan museum,体験プログラム,遊ぶ,愛知県半田市中村町2-6,4750873,34.893054,136.934331,ミツカンの酢づくりの歴史や、食文化の魅力にふれ、楽しみ学べる体験型博物館です。ショップでは、オリジナルグッズなどを販売しています。,MIZKAN MUSEUM,0569-24-5111,http://www.mizkan.co.jp/mim/about.html,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0003,観光,國盛酒の文化館,美術館・博物館,見る,愛知県半田市東本町2-24,4750878,34.895361,136.934976,江戸時代から300有余年の歴史を誇る酒造りの道具・資料を展示。利き酒もできます。,國盛酒の文化館,0569-23-1499,http://www.nakanoshuzou.jp/sake/infomation.html,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/3_sake.jpg
232050,KN0004,観光,旧中埜半六邸,歴史・郷土文化,見る,愛知県半田市中村町1-7,4750873,34.89509,136.934868,江戸時代から海運業、醸造業で栄えた豪商中埜半六家の邸宅です。,旧中埜半六邸,0569-89-2925,http://hanroku-collabo.org/,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/4_nakasoie.JPG
232050,KN0005,観光,半六庭園,公園・庭園,見る,愛知県半田市中村町1-7,4750873,34.89509,136.934868,江戸時代から海運業、醸造業でさかえ、代々地元の発展に貢献した名家、中埜半六家。その庭園を、市民の憩いの場として整備し半田市を訪れる方々のおもてなしの場となっています。,半田市観光課,0569‐84‐0689,https://www.city.handa.lg.jp/kanko/event/27/open.html,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/5_teien.JPG
232050,KN0006,観光,新美南吉記念館(新見南吉記念館),歴史・郷土文化,見る,愛知県半田市岩滑西町1-10-1,4750966,34.909214,136.911247,新美南吉の自筆原稿や書簡などを収蔵・展示する記念文学館。「ごんぎつね」の舞台となった地に建てられています。童話の森には、文学碑や作品に登場する植物が観察できる遊歩道があります。,新美南吉記念館,0569-26-4888,http://www.nankichi.gr.jp/kinenkan/shisetu/sisetu.htm,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/6_nakikinen.JPG
232050,KN0007,観光,新美南吉の養家(新見南吉の養家),歴史・郷土文化,見る,愛知県半田市平和町7-60,4750963,34.911086,136.899143,新美南吉が幼少期、母りゑの実家新美家に養子に出され数か月暮らした家です。当時のまま修復・保存されています。,かみや美術館,0569-29-2626,http://www.kamiya-muse.or.jp/,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0008,観光,ごんぎつねの湯,温泉,遊ぶ,愛知県半田市平和町5-73-2,4750963,34.906969,136.89924,総檜造りの純和風天然温泉。日本庭園を眺めながら入浴できます。,ごんぎつねの湯,0569-27-8878,http://www.geocities.jp/joyabuki841/gongitune.html,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/8_gongitune.jpg
232050,KN0010,観光,神前神社,歴史・郷土文化,見る,愛知県半田市亀崎町2-92,4750023,34.918424,136.970669,明治18年、知多半島で唯一県社に列せられ、社格制度が廃止された後も「県社」の愛称で親しまれています。潮干祭は神前神社の祭礼です。,神前神社,0569-28-0019,http://shiohi-matsuri.com/index-kmj.html,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/10_kamimae.JPG
232050,KN0011,観光,紺屋海道,観光案内,見る,愛知県半田市堀崎町周辺,4750851,34.898395,136.929762,江戸時代多くの人が行き交うにぎやかだった通りで、染物屋があったと伝えられています。昔の風情が漂う懐かしいまち並が一部残っています。,半田市観光課,0569-84-0689,https://www.city.handa.lg.jp/kanko/spot/konya-kaido.html,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/11_konya.jpg
232050,KN0012,観光,新美南吉の生家,歴史・郷土文化,見る,愛知県半田市岩滑町中町1-83,4750961,34.910033,136.923691,新美南吉が生まれ育った場所に父が生業としていた畳屋と継母が営んでいた下駄屋など、当時の様子を生家として復元しています。,新美南吉記念館,0569-26-4888,http://www.nankichi.gr.jp/sanpo/sanpo.html,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/12_nankitibi.JPG
232050,KN0013,観光,JR亀崎駅舎,歴史・郷土文化,見る,愛知県半田市亀崎常盤町2丁目地内,4750029,34.919031,136.961035,明治19年（1886年）の開業当時の駅舎で、国内に現存する現役の木造駅舎（本屋）では最も古いといわれています。,ＪＲ大府駅,0562-47-0508,,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/13_kamesaki.jpg
232050,KN0014,観光,JR半田駅跨線橋,歴史・郷土文化,見る,愛知県半田市御幸町110,4750887,34.894022,136.930712,明治43年（1910年）に設置された全国で最も古い跨線橋です。,ＪＲ大府駅,0562-47-0508,,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/14_rosenkyo.jpg
232050,KN0015,観光,小栗家住宅,歴史・郷土文化,見る,愛知県半田市中村町1-18,4750873,34.894447,136.934104,明治初期に建てられた豪商邸宅（国登録有形文化財）４月下旬に白モッコウバラがお庭に咲きます。,,,,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0016,観光,常楽寺,歴史・郷土文化,見る,愛知県半田市東郷町2-41,4750924,34.883,136.91735,第八世住職の典空顕朗上人の従兄弟であった徳川家康が、桶狭間の戦いや本能寺の変、その後上洛の際にも立ち寄ったことから、徳川家康ゆかりの寺としても知られています。,常楽寺,0569-21-0268,,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/16_jouraku.jpg
232050,KN0017,観光,榊原弱者救済所跡公園（鴉根史跡公園）,公園・庭園,見る,愛知県半田市鴉根町2-28-2,4750932,34.877249,136.896354,明治３２年に成岩の人、榊原亀三郎がこの地に「榊原弱者救済所」をつくりました。それは、社会から捨てられた弱い人たちが不自由なく暮らせる新しい村でした。「榊原弱者救済所跡公園」には、鴉根の丘の歴史を写真入りで解説、展示して、「鴉根史跡公園」の役目も見せています。,榊原弱者救済所跡保存会,0569-27-7191,http://kamesaburo.com/parkinfo/,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0018,観光,澤田農園,体験プログラム,食べる,愛知県半田市金山町2-145,4750953,34.902186,136.878723,イチゴ狩りスポット。酸味が少なく糖度が高い大粒イチゴ「あきひめ」をお楽しみいただけます。,澤田農園,0569-27-6430,http://www.sawadafarm.com,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0019,観光,市野園芸,体験プログラム,食べる,愛知県半田市田代町156-1,4750948,34.897529,136.893253,イチゴ狩りスポット。酸味が少なく口当たりが柔らかいイチゴ「章姫」をお楽しみいただけます。,市野園芸,0569-27-7586,http://www.ichino-15.com,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0020,観光,ベリーガーデンズ,体験プログラム,食べる,愛知県半田市北滑草町153,4750972,34.897264,136.902184,イチゴ狩りスポット。ゆったりのんびりと過ごす庭先の様な空間で、もぎたていちごをお楽しみいただけます。,ベリーガーデンズ,0569－47－8015,http://www.berry-gardens.jp/berry/,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0022,観光,真古酌の薬師水,自然,遊ぶ,愛知県半田市稲穂町1-2-1,4750011,34.931712,136.958652,皮膚病によく効く清水を「真古酌の薬師水」と地元で語り継がれてきました。今でも、地元の人々の協力により修復された真古酌の井戸から清水が湧き出ています。,半田市経済課,0569-84-0636,,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0023,観光,半田運河,観光案内,遊ぶ,愛知県半田市源平町,4750816,34.893433,136.935532,春には鯉のぼりが優雅に泳ぎ、夏の夜には運河の水面を無数のヒカリノ玉が彩るCanal Nightが開催されます。様々なイベントだけでなく、潮風とともに四季の移ろいが感じられる散策スポットとして人々に愛されています。,半田市観光課,0569-84-0689,,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/23_handa.JPG
232050,KN0024,観光,旧中埜家住宅,歴史・郷土文化,見る,愛知県半田市天王町1-30-2,4750859,34.896423,136.927204,第十代中埜半六の別荘として明治44年に建てられた洋風住宅です(国指定重要文化財)。木造2階建てで屋根は天然スレート葺、ハーフティンバーの壁面など、変化に富んだ外観となっています。,半田市立博物館,0569-23-7173,,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0025,観光,SL半田市鉄道資料館,美術館・博物館,見る,愛知県半田市御幸町110番地4,4750887,34.894656,136.931092,「半田市鉄道資料館」は、鉄道資料館としては小樽鉄道記念館の次に開設されたもので、全国でも最初に開設されたローカル線の一つである「武豊線」の、貴重な資料を数多く収蔵しています。,教育委員会事務局,0569-23-7341,,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0026,観光,半田市立博物館,美術館・博物館,見る,愛知県半田市桐ヶ丘4-209-1,4750928,34.891342,136.914286,山車の実物が観られる他、伝統産業である酢づくりを始め半田市・知多半島の自然・歴史・文化・産業を常設展示で紹介しています。,半田市立博物館,0569-23-7173,http://www.city.handa.lg.jp/hkbutsu/bunka/gejutsu/hakubutsukan/hakubutsukan.html,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0027,観光,半田空の科学館,体験プログラム,遊ぶ,愛知県半田市桐ヶ丘4-210,4750928,34.891489,136.913077,プラネタリウム・展示室・屋上には天体観測所があります。プラネタリウムは直径18ⅿのドームに240席の観客席があり、満点の星空のもとで夢の世界に浸っていただけます。,半田空の科学館,0569-23-7175,https://sky-handa.com/,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0028,観光,雁宿公園,公園・庭園,遊ぶ,愛知県半田市雁宿町3-204-1,4750918,34.897186,136.920188,桜の名所として有名な雁宿公園は、歌碑あり、子供が遊べる遊具あり、小動物園ありの充実した施設。自然を楽しみつつウォーキングもできます。,半田市都市計画課,0569-84-0665,,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png
232050,KN0029,観光,半田運動公園,公園・庭園,遊ぶ,愛知県半田市池田町3-1-1,4750945,34.900669,136.883933,半田市の西部丘陵地にある緑豊かな公園です。陸上競技場・テニスコートなどのスポーツ施設のほか、バーベキューができるデイキャンプ場、様々な遊具が備わったちびっこ広場などがあります。,半田運動公園,0569-27-6663,http://www.city.handa.lg.jp/sports/bunka/leisure/sportsshisetsu/undokoen/kouen-gaiyo.html,https://s3-ap-northeast-1.amazonaws.com/hnd-kanko/sorry.png